Country,REG5,REG6,REG7,REG8,REG9,Average,Rank
Finland,4,4,3,0,6,3.4,1
France,4,4,3,0,6,3.4,1
Mexico,5,4,3,3,2,3.4,1
Chile,6,6,1,1,2,3.2,4
Italy,4,4,4,2,2,3.2,4
Norway,5,3,2,4,2,3.2,4
Portugal,2.5,4,3,5,1,3.1,7
Austria,2,6,1,6,0,3,8
Japan,2,4,1,2,6,3,8
Korea,2,4,1,6,2,3,8
Sweden,4,3,6,0,2,3,8
Germany,4,3,3,3,1,2.8,12
Netherlands,3,5,1,2,3,2.8,12
Czech Republic,0,4,1,6,2,2.6,14
Slovenia,4,3,2,4,0,2.6,14
Greece,1,3,..,4,2,2.5,16
Iceland,0,4,..,0,6,2.5,16
Slovak Republic,0,4,1,5,2,2.4,18
Australia,4,3,1,2,1,2.2,19
Israel,0,2,1,2,6,2.2,19
Spain,4,4,2,0,1,2.2,19
Belgium,0,4,0,0,5,1.8,22
Estonia,4,4,0,0,1,1.8,22
Ireland,0,2,2,2,3,1.8,22
New Zealand,0,4,1,2,2,1.8,22
United States,0,..,..,1,4,1.666666667,26
Hungary,0,4,2,2,0,1.6,27
Luxembourg,2,3,1,0,2,1.6,27
Poland,0,4,0,2,1,1.4,29
Denmark,0,3,1,2,0,1.2,30
Switzerland,0,5,1,0,0,1.2,30
Turkey,0,4,2,0,0,1.2,30
Canada,0,..,..,2,1,1,33
United Kingdom,0,0,1,2,2,1,33
